condition,majority_voting,count,total,proportion
Control,C-TAL,105,1607,6.533914125700062
Control,CCD-IC-A,5,1607,0.3111387678904792
Control,CNT,72,1607,4.4803982576229
Control,DCT,65,1607,4.044803982576229
Control,DTL,47,1607,2.9247044181705038
Control,EC-AEA,60,1607,3.7336652146857494
Control,EC-DVR,85,1607,5.289359054138146
Control,EC-GC,200,1607,12.445550715619166
Control,EC-LYM,7,1607,0.43559427504667086
Control,EC-PTC,366,1607,22.775357809583074
Control,IC-A,17,1607,1.057871810827629
Control,IC-B,9,1607,0.5600497822028625
Control,M-TAL,12,1607,0.7467330429371499
Control,Myeloid,15,1607,0.9334163036714374
Control,NK cells,10,1607,0.6222775357809583
Control,PC,170,1607,10.578718108276291
Control,PEC,31,1607,1.9290603609209707
Control,PT,104,1607,6.471686372121967
Control,Podocytes,28,1607,1.7423771001866835
Control,VSMC/P,123,1607,7.654013690105788
Control,aPT,16,1607,0.9956440572495333
Control,aTAL,20,1607,1.2445550715619167
Control,dATL,0,1607,0.0
Control,dVSMC,40,1607,2.4891101431238334
T1D,C-TAL,115,4720,2.4364406779661016
T1D,CCD-IC-A,43,4720,0.9110169491525424
T1D,CNT,147,4720,3.1144067796610173
T1D,DCT,91,4720,1.9279661016949154
T1D,DTL,411,4720,8.707627118644067
T1D,EC-AEA,118,4720,2.5
T1D,EC-DVR,341,4720,7.22457627118644
T1D,EC-GC,196,4720,4.1525423728813555
T1D,EC-LYM,15,4720,0.31779661016949157
T1D,EC-PTC,946,4720,20.042372881355934
T1D,IC-A,34,4720,0.7203389830508474
T1D,IC-B,20,4720,0.423728813559322
T1D,M-TAL,254,4720,5.381355932203389
T1D,Myeloid,16,4720,0.3389830508474576
T1D,NK cells,16,4720,0.3389830508474576
T1D,PC,1034,4720,21.906779661016948
T1D,PEC,32,4720,0.6779661016949152
T1D,PT,225,4720,4.766949152542373
T1D,Podocytes,22,4720,0.46610169491525427
T1D,VSMC/P,400,4720,8.47457627118644
T1D,aPT,90,4720,1.9067796610169492
T1D,aTAL,40,4720,0.847457627118644
T1D,dATL,75,4720,1.5889830508474576
T1D,dVSMC,39,4720,0.826271186440678
